1	1	2	2	1	0.489	1
2	1	3	3	1	0.680	1
3	2	2	5	2	0.571	1
4	2	1	4	2	0.499	0
5	2	2	5	2	0.426	1
6	1	1	1	1	0.499	1
7	3	3	9	3	0.688	1
8	2	2	5	2	0.876	1
9	3	1	7	3	0.711	1
10	3	2	8	3	0.558	0
11	3	3	9	3	0.646	1
12	3	2	8	3	0.520	1
13	2	3	6	2	0.829	1
14	1	1	1	1	0.584	1
15	1	2	2	1	0.678	1
16	2	2	5	2	0.594	1
17	1	1	1	1	0.633	1
18	2	1	4	2	0.831	1
19	3	3	9	3	0.580	1
20	3	1	7	3	0.538	1
21	3	3	9	3	0.428	1
22	1	1	1	1	0.893	1
23	1	3	3	1	0.584	1
24	2	3	6	2	0.581	1
