1	1	3	3	3	0.942	1
2	2	3	6	3	0.926	1
3	2	3	6	3	0.867	1
4	2	2	5	2	1.450	1
5	1	3	3	3	1.031	1
6	3	3	9	3	0.987	1
7	2	1	4	1	0.762	1
8	1	1	1	1	0.705	1
9	1	1	1	1	0.607	1
10	2	2	5	2	0.546	1
11	2	2	5	2	0.417	1
12	3	2	8	2	0.755	1
13	2	1	4	1	0.642	1
14	1	1	1	1	0.680	1
15	3	2	8	2	1.091	1
16	1	1	1	1	0.941	1
17	3	3	9	3	0.668	1
18	2	2	5	2	0.888	1
19	3	1	7	1	0.826	1
20	3	1	7	1	0.683	1
21	3	3	9	3	1.535	1
22	1	2	2	2	1.324	1
23	3	3	9	3	1.258	1
24	1	2	2	2	1.095	1
1	2	2	5	2	0.623	0
2	1	1	1	1	0.568	0
3	1	2	2	2	0.284	0
4	3	2	8	2	0.289	0
5	3	3	9	3	0.441	1
6	1	3	3	3	0.799	0
7	3	3	9	3	0.589	1
8	2	1	4	1	0.991	0
9	2	2	5	2	0.716	1
10	1	2	2	2	0.634	0
